freq	dB(S(2,1))
1.47542000000000020E9	-3.01198258555720020E1
1.47551999999999990E9	-3.01024857259631600E1
1.47562000000000020E9	-3.00851284990207680E1
1.47572000000000010E9	-3.00677541410936080E1
1.47582000000000010E9	-3.00503626184324670E1
1.47592000000000010E9	-3.00329538971902070E1
1.47602000000000010E9	-3.00155279434210080E1
1.47612000000000030E9	-2.99980847230800900E1
1.47622000000000010E9	-2.99806242020233290E1
1.47632000000000010E9	-2.99631463460071500E1
1.47641999999999980E9	-2.99456511206876910E1
1.47651999999999980E9	-2.99281384916206460E1
1.47662000000000000E9	-2.99106084242610940E1
1.47671999999999980E9	-2.98930608839626990E1
1.47682000000000020E9	-2.98754958359776170E1
1.47692000000000020E9	-2.98579132454559910E1
1.47702000000000000E9	-2.98403130774455370E1
1.47712000000000020E9	-2.98226952968912640E1
1.47722000000000020E9	-2.98050598686349620E1
1.47732000000000020E9	-2.97874067574150160E1
1.47742000000000020E9	-2.97697359278656350E1
1.47752000000000020E9	-2.97520473445166770E1
1.47761999999999990E9	-2.97343409717934160E1
1.47771999999999990E9	-2.97166167740158690E1
1.47782000000000010E9	-2.96988747153983960E1
1.47791999999999990E9	-2.96811147600495180E1
1.47801999999999990E9	-2.96633368719712510E1
1.47812000000000010E9	-2.96455410150588740E1
1.47821999999999990E9	-2.96277271531003050E1
1.47832000000000030E9	-2.96098952497761840E1
1.47842000000000030E9	-2.95920452686587600E1
1.47852000000000010E9	-2.95741771732119000E1
1.47862000000000030E9	-2.95562909267906890E1
1.47872000000000030E9	-2.95383864926408220E1
1.47882000000000000E9	-2.95204638338981780E1
1.47892000000000000E9	-2.95025229135886850E1
1.47901999999999980E9	-2.94845636946274680E1
1.47912000000000000E9	-2.94665861398187360E1
1.47922000000000000E9	-2.94485902118552060E1
1.47932000000000020E9	-2.94305758733177260E1
1.47942000000000000E9	-2.94125430866748690E1
1.47951999999999990E9	-2.93944918142823090E1
1.47962000000000020E9	-2.93764220183825710E1
1.47971999999999990E9	-2.93583336611046520E1
1.47982000000000040E9	-2.93402267044631810E1
1.47992000000000030E9	-2.93221011103584670E1
1.48002000000000010E9	-2.93039568405757710E1
1.48011999999999990E9	-2.92857938567848960E1
1.48021999999999990E9	-2.92676121205397570E1
1.48032000000000010E9	-2.92494115932777940E1
1.48042000000000010E9	-2.92311922363198380E1
1.48051999999999980E9	-2.92129540108692880E1
1.48062000000000000E9	-2.91946968780118610E1
1.48072000000000000E9	-2.91764207987150610E1
1.48082000000000020E9	-2.91581257338277130E1
1.48092000000000000E9	-2.91398116440795270E1
1.48102000000000000E9	-2.91214784900805100E1
1.48112000000000020E9	-2.91031262323207640E1
1.48122000000000000E9	-2.90847548311697010E1
1.48132000000000000E9	-2.90663642468756530E1
1.48142000000000000E9	-2.90479544395655460E1
1.48151999999999990E9	-2.90295253692442530E1
1.48161999999999990E9	-2.90110769957941050E1
1.48171999999999990E9	-2.89926092789744820E1
1.48182000000000010E9	-2.89741221784214800E1
1.48192000000000010E9	-2.89556156536469800E1
1.48201999999999990E9	-2.89370896640385270E1
1.48212000000000010E9	-2.89185441688586620E1
1.48222000000000010E9	-2.88999791272445880E1
1.48232000000000030E9	-2.88813944982073820E1
1.48242000000000010E9	-2.88627902406318880E1
1.48252000000000010E9	-2.88441663132758700E1
1.48262000000000000E9	-2.88255226747694590E1
1.48272000000000000E9	-2.88068592836151850E1
1.48282000000000000E9	-2.87881760981867090E1
1.48292000000000000E9	-2.87694730767289240E1
1.48302000000000000E9	-2.87507501773570920E1
1.48312000000000000E9	-2.87320073580563660E1
1.48322000000000000E9	-2.87132445766814960E1
1.48332000000000020E9	-2.86944617909559830E1
1.48342000000000020E9	-2.86756589584717150E1
1.48351999999999990E9	-2.86568360366885020E1
1.48362000000000020E9	-2.86379929829333870E1
1.48372000000000010E9	-2.86191297544002990E1
1.48382000000000010E9	-2.86002463081490930E1
1.48391999999999990E9	-2.85813426011056660E1
1.48401999999999990E9	-2.85624185900608430E1
1.48412000000000010E9	-2.85434742316700740E1
1.48422000000000010E9	-2.85245094824529440E1
1.48432000000000010E9	-2.85055242987924820E1
1.48442000000000010E9	-2.84865186369345350E1
1.48452000000000010E9	-2.84674924529876480E1
1.48462000000000010E9	-2.84484457029217100E1
1.48472000000000000E9	-2.84293783425683570E1
1.48482000000000030E9	-2.84102903276195870E1
1.48492000000000020E9	-2.83911816136276180E1
1.48502000000000000E9	-2.83720521560042640E1
1.48512000000000000E9	-2.83529019100202670E1
1.48522000000000000E9	-2.83337308308047440E1
1.48532000000000020E9	-2.83145388733447680E1
1.48542000000000000E9	-2.82953259924843880E1
1.48552000000000000E9	-2.82760921429246890E1
1.48562000000000020E9	-2.82568372792224660E1
1.48572000000000020E9	-2.82375613557900660E1
1.48582000000000010E9	-2.82182643268948260E1
1.48592000000000010E9	-2.81989461466583610E1
1.48602000000000010E9	-2.81796067690557980E1
1.48612000000000010E9	-2.81602461479154930E1
1.48622000000000010E9	-2.81408642369182750E1
1.48632000000000010E9	-2.81214609895967760E1
1.48642000000000010E9	-2.81020363593348540E1
1.48651999999999980E9	-2.80825902993671410E1
1.48662000000000010E9	-2.80631227627780430E1
1.48672000000000000E9	-2.80436337025017360E1
1.48682000000000030E9	-2.80241230713208010E1
1.48692000000000000E9	-2.80045908218661400E1
1.48702000000000000E9	-2.79850369066161920E1
1.48712000000000020E9	-2.79654612778962220E1
1.48722000000000020E9	-2.79458638878779020E1
1.48732000000000020E9	-2.79262446885781120E1
1.48742000000000020E9	-2.79066036318591810E1
1.48752000000000020E9	-2.78869406694274690E1
