freq	dB(S(2,1))
1.32542000000000000E9	-3.82302523473167620E1
1.32592000000000020E9	-3.81881271587907500E1
1.32641999999999990E9	-3.81459228922811190E1
1.32692000000000010E9	-3.81036392176272630E1
1.32742000000000030E9	-3.80612758025193760E1
1.32792000000000000E9	-3.80188323124799290E1
1.32842000000000020E9	-3.79763084108452010E1
1.32891999999999990E9	-3.79337037587464110E1
1.32942000000000000E9	-3.78910180150909690E1
1.32992000000000020E9	-3.78482508365433510E1
1.33041999999999990E9	-3.78054018775054820E1
1.33092000000000010E9	-3.77624707900975220E1
1.33142000000000000E9	-3.77194572241378980E1
1.33192000000000000E9	-3.76763608271234230E1
1.33242000000000020E9	-3.76331812442091130E1
1.33292000000000010E9	-3.75899181181878910E1
1.33342000000000000E9	-3.75465710894697360E1
1.33392000000000000E9	-3.75031397960609200E1
1.33442000000000020E9	-3.74596238735432600E1
1.33492000000000010E9	-3.74160229550523570E1
1.33542000000000010E9	-3.73723366712563900E1
1.33592000000000020E9	-3.73285646503341570E1
1.33641999999999990E9	-3.72847065179533250E1
1.33692000000000010E9	-3.72407618972480140E1
1.33742000000000030E9	-3.71967304087963860E1
1.33792000000000000E9	-3.71526116705978640E1
1.33842000000000020E9	-3.71084052980503150E1
1.33891999999999990E9	-3.70641109039264770E1
1.33942000000000010E9	-3.70197280983510260E1
1.33992000000000020E9	-3.69752564887763930E1
1.34041999999999990E9	-3.69306956799588890E1
1.34092000000000010E9	-3.68860452739344560E1
1.34141999999999980E9	-3.68413048699940320E1
1.34192000000000000E9	-3.67964740646590460E1
1.34242000000000020E9	-3.67515524516558980E1
1.34291999999999990E9	-3.67065396218908460E1
1.34342000000000010E9	-3.66614351634244160E1
1.34392000000000000E9	-3.66162386614451310E1
1.34441999999999990E9	-3.65709496982437090E1
1.34492000000000010E9	-3.65255678531860890E1
1.34542000000000010E9	-3.64800927026869590E1
1.34592000000000000E9	-3.64345238201824180E1
1.34642000000000000E9	-3.63888607761025980E1
1.34692000000000010E9	-3.63431031378438620E1
1.34742000000000010E9	-3.62972504697408290E1
1.34792000000000000E9	-3.62513023330377710E1
1.34842000000000020E9	-3.62052582858601200E1
1.34892000000000010E9	-3.61591178831854030E1
1.34942000000000010E9	-3.61128806768134950E1
1.34992000000000020E9	-3.60665462153374870E1
1.35042000000000020E9	-3.60201140441130140E1
1.35092000000000010E9	-3.59735837052283800E1
1.35141999999999980E9	-3.59269547374732890E1
1.35192000000000020E9	-3.58802266763080360E1
1.35242000000000020E9	-3.58333990538320530E1
1.35291999999999990E9	-3.57864713987517420E1
1.35342000000000030E9	-3.57394432363485400E1
1.35392000000000000E9	-3.56923140884460910E1
1.35442000000000000E9	-3.56450834733774700E1
1.35492000000000030E9	-3.55977509059515420E1
1.35542000000000010E9	-3.55503158974193580E1
1.35592000000000000E9	-3.55027779554400790E1
1.35642000000000000E9	-3.54551365840459720E1
1.35692000000000010E9	-3.54073912836079160E1
1.35742000000000010E9	-3.53595415507996250E1
1.35792000000000000E9	-3.53115868785620400E1
1.35842000000000020E9	-3.52635267560669030E1
1.35891999999999990E9	-3.52153606686801000E1
1.35942000000000010E9	-3.51670880979246550E1
1.35992000000000020E9	-3.51187085214428270E1
1.36042000000000000E9	-3.50702214129584800E1
1.36092000000000010E9	-3.50216262422382840E1
1.36142000000000010E9	-3.49729224750526990E1
1.36192000000000000E9	-3.49241095731369370E1
1.36242000000000020E9	-3.48751869941504910E1
1.36292000000000010E9	-3.48261541916371350E1
1.36342000000000010E9	-3.47770106149837940E1
1.36391999999999980E9	-3.47277557093792440E1
1.36442000000000020E9	-3.46783889157723110E1
1.36492000000000010E9	-3.46289096708290510E1
1.36541999999999990E9	-3.45793174068903260E1
1.36592000000000020E9	-3.45296115519276730E1
1.36642000000000000E9	-3.44797915294999860E1
1.36691999999999990E9	-3.44298567587083550E1
1.36742000000000030E9	-3.43798066541513860E1
1.36792000000000000E9	-3.43296406258791230E1
1.36842000000000000E9	-3.42793580793470910E1
1.36891999999999990E9	-3.42289584153692860E1
1.36942000000000010E9	-3.41784410300707850E1
1.36992000000000000E9	-3.41278053148397390E1
1.37042000000000000E9	-3.40770506562787730E1
1.37092000000000010E9	-3.40261764361557000E1
1.37142000000000010E9	-3.39751820313535460E1
1.37192000000000000E9	-3.39240668138203900E1
1.37242000000000020E9	-3.38728301505177050E1
1.37292000000000010E9	-3.38214714033690810E1
1.37342000000000010E9	-3.37699899292073050E1
1.37392000000000000E9	-3.37183850797217000E1
1.37442000000000020E9	-3.36666562014039790E1
1.37492000000000010E9	-3.36148026354937100E1
1.37542000000000010E9	-3.35628237179234200E1
1.37592000000000030E9	-3.35107187792624380E1
1.37642000000000000E9	-3.34584871446602380E1
1.37692000000000010E9	-3.34061281337892080E1
1.37742000000000030E9	-3.33536410607864920E1
1.37792000000000000E9	-3.33010252341949940E1
1.37842000000000020E9	-3.32482799569038520E1
1.37891999999999990E9	-3.31954045260879930E1
1.37942000000000010E9	-3.31423982331469210E1
1.37992000000000030E9	-3.30892603636425740E1
1.38042000000000000E9	-3.30359901972366380E1
1.38092000000000010E9	-3.29825870076268980E1
1.38141999999999990E9	-3.29290500624825230E1
1.38192000000000000E9	-3.28753786233788770E1
1.38242000000000020E9	-3.28215719457313430E1
1.38291999999999990E9	-3.27676292787279880E1
1.38342000000000010E9	-3.27135498652616710E1
1.38392000000000000E9	-3.26593329418612300E1
1.38442000000000000E9	-3.26049777386215120E1
1.38492000000000020E9	-3.25504834791325860E1
1.38542000000000010E9	-3.24958493804081080E1
1.38592000000000000E9	-3.24410746528125940E1
1.38642000000000000E9	-3.23861584999877210E1
1.38692000000000020E9	-3.23311001187776710E1
1.38742000000000010E9	-3.22758986991533800E1
1.38792000000000000E9	-3.22205534241360910E1
1.38842000000000020E9	-3.21650634697191990E1
1.38891999999999990E9	-3.21094280047896690E1
1.38942000000000010E9	-3.20536461910482990E1
1.38992000000000030E9	-3.19977171829283820E1
1.39042000000000000E9	-3.19416401275138020E1
1.39092000000000020E9	-3.18854141644557430E1
1.39141999999999990E9	-3.18290384258885290E1
1.39192000000000000E9	-3.17725120363438010E1
1.39242000000000020E9	-3.17158341126638410E1
1.39291999999999990E9	-3.16590037639139020E1
