freq	dB(S(2,1))
1.47542000000000020E9	-3.37014785512805170E1
1.47551999999999990E9	-3.36836194359012260E1
1.47562000000000020E9	-3.36657429879110870E1
1.47572000000000010E9	-3.36478491728206430E1
1.47582000000000010E9	-3.36299379560376850E1
1.47592000000000010E9	-3.36120093028670390E1
1.47602000000000010E9	-3.35940631785099610E1
1.47612000000000030E9	-3.35760995480639140E1
1.47622000000000010E9	-3.35581183765220370E1
1.47632000000000010E9	-3.35401196287726710E1
1.47641999999999980E9	-3.35221032695991990E1
1.47651999999999980E9	-3.35040692636792860E1
1.47662000000000000E9	-3.34860175755848740E1
1.47671999999999980E9	-3.34679481697812960E1
1.47682000000000020E9	-3.34498610106272580E1
1.47692000000000020E9	-3.34317560623740780E1
1.47702000000000000E9	-3.34136332891655870E1
1.47712000000000020E9	-3.33954926550373710E1
1.47722000000000020E9	-3.33773341239166400E1
1.47732000000000020E9	-3.33591576596215500E1
1.47742000000000020E9	-3.33409632258609760E1
1.47752000000000020E9	-3.33227507862338880E1
1.47761999999999990E9	-3.33045203042290170E1
1.47771999999999990E9	-3.32862717432243960E1
1.47782000000000010E9	-3.32680050664868920E1
1.47791999999999990E9	-3.32497202371718490E1
1.47801999999999990E9	-3.32314172183224610E1
1.47812000000000010E9	-3.32130959728694730E1
1.47821999999999990E9	-3.31947564636306410E1
1.47832000000000030E9	-3.31763986533105020E1
1.47842000000000030E9	-3.31580225044994490E1
1.47852000000000010E9	-3.31396279796737850E1
1.47862000000000030E9	-3.31212150411948380E1
1.47872000000000030E9	-3.31027836513088270E1
1.47882000000000000E9	-3.30843337721461860E1
1.47892000000000000E9	-3.30658653657211720E1
1.47901999999999980E9	-3.30473783939314240E1
1.47912000000000000E9	-3.30288728185573750E1
1.47922000000000000E9	-3.30103486012619120E1
1.47932000000000020E9	-3.29918057035897890E1
1.47942000000000000E9	-3.29732440869672330E1
1.47951999999999990E9	-3.29546637127013040E1
1.47962000000000020E9	-3.29360645419797480E1
1.47971999999999990E9	-3.29174465358700050E1
1.47982000000000040E9	-3.28988096553192260E1
1.47992000000000030E9	-3.28801538611533760E1
1.48002000000000010E9	-3.28614791140769480E1
1.48011999999999990E9	-3.28427853746726140E1
1.48021999999999990E9	-3.28240726034002340E1
1.48032000000000010E9	-3.28053407605969130E1
1.48042000000000010E9	-3.27865898064760010E1
1.48051999999999980E9	-3.27678197011270590E1
1.48062000000000000E9	-3.27490304045148540E1
1.48072000000000000E9	-3.27302218764793550E1
1.48082000000000020E9	-3.27113940767347210E1
1.48092000000000000E9	-3.26925469648692380E1
1.48102000000000000E9	-3.26736805003443460E1
1.48112000000000020E9	-3.26547946424946070E1
1.48122000000000000E9	-3.26358893505266550E1
1.48132000000000000E9	-3.26169645835190900E1
1.48142000000000000E9	-3.25980203004217640E1
1.48151999999999990E9	-3.25790564600552330E1
1.48161999999999990E9	-3.25600730211102760E1
1.48171999999999990E9	-3.25410699421472050E1
1.48182000000000010E9	-3.25220471815957080E1
1.48192000000000010E9	-3.25030046977538100E1
1.48201999999999990E9	-3.24839424487876500E1
1.48212000000000010E9	-3.24648603927307410E1
1.48222000000000010E9	-3.24457584874836510E1
1.48232000000000030E9	-3.24266366908131600E1
1.48242000000000010E9	-3.24074949603518640E1
1.48252000000000010E9	-3.23883332535976810E1
1.48262000000000000E9	-3.23691515279130380E1
1.48272000000000000E9	-3.23499497405246310E1
1.48282000000000000E9	-3.23307278485224580E1
1.48292000000000000E9	-3.23114858088596880E1
1.48302000000000000E9	-3.22922235783516380E1
1.48312000000000000E9	-3.22729411136755840E1
1.48322000000000000E9	-3.22536383713698440E1
1.48332000000000020E9	-3.22343153078335210E1
1.48342000000000020E9	-3.22149718793254980E1
1.48351999999999990E9	-3.21956080419642850E1
1.48362000000000020E9	-3.21762237517272090E1
1.48372000000000010E9	-3.21568189644496540E1
1.48382000000000010E9	-3.21373936358248580E1
1.48391999999999990E9	-3.21179477214028490E1
1.48401999999999990E9	-3.20984811765902570E1
1.48412000000000010E9	-3.20789939566493350E1
1.48422000000000010E9	-3.20594860166976670E1
1.48432000000000010E9	-3.20399573117072740E1
1.48442000000000010E9	-3.20204077965042530E1
