freq	dB(S(2,1))
1.47542000000000020E9	-2.03806733310950870E1
1.47551999999999990E9	-2.03636166645470680E1
1.47562000000000020E9	-2.03465464880411820E1
1.47572000000000010E9	-2.03294627812340160E1
1.47582000000000010E9	-2.03123655236957300E1
1.47592000000000010E9	-2.02952546950364090E1
1.47602000000000010E9	-2.02781302748069250E1
1.47612000000000030E9	-2.02609922424623520E1
1.47622000000000010E9	-2.02438405775515040E1
1.47632000000000010E9	-2.02266752594537590E1
1.47641999999999980E9	-2.02094962676164820E1
1.47651999999999980E9	-2.01923035814066680E1
1.47662000000000000E9	-2.01750971801946920E1
1.47671999999999980E9	-2.01578770432683640E1
1.47682000000000020E9	-2.01406431499025550E1
1.47692000000000020E9	-2.01233954793875030E1
1.47702000000000000E9	-2.01061340109029050E1
1.47712000000000020E9	-2.00888587236411230E1
1.47722000000000020E9	-2.00715695967873710E1
1.47732000000000020E9	-2.00542666094274490E1
1.47742000000000020E9	-2.00369497406810470E1
1.47752000000000020E9	-2.00196189695798220E1
1.47761999999999990E9	-2.00022742751568390E1
1.47771999999999990E9	-1.99849156364183390E1
1.47782000000000010E9	-1.99675430323386970E1
1.47791999999999990E9	-1.99501564417904300E1
1.47801999999999990E9	-1.99327558437537220E1
1.47812000000000010E9	-1.99153412170092770E1
1.47821999999999990E9	-1.98979125404793190E1
1.47832000000000030E9	-1.98804697929108510E1
1.47842000000000030E9	-1.98630129530799100E1
1.47852000000000010E9	-1.98455419997504510E1
1.47862000000000030E9	-1.98280569116077340E1
1.47872000000000030E9	-1.98105576673231230E1
1.47882000000000000E9	-1.97930442456030020E1
1.47892000000000000E9	-1.97755166250056070E1
1.47901999999999980E9	-1.97579747841155530E1
1.47912000000000000E9	-1.97404187015155900E1
1.47922000000000000E9	-1.97228483556978770E1
1.47932000000000020E9	-1.97052637251752530E1
1.47942000000000000E9	-1.96876647884181290E1
1.47951999999999990E9	-1.96700515238150620E1
1.47962000000000020E9	-1.96524239098072510E1
1.47971999999999990E9	-1.96347819247184070E1
1.47982000000000040E9	-1.96171255469227470E1
1.47992000000000030E9	-1.95994547547002830E1
1.48002000000000010E9	-1.95817695263473010E1
1.48011999999999990E9	-1.95640698401117710E1
1.48021999999999990E9	-1.95463556741831180E1
1.48032000000000010E9	-1.95286270067752680E1
1.48042000000000010E9	-1.95108838160341520E1
1.48051999999999980E9	-1.94931260800625730E1
1.48062000000000000E9	-1.94753537769519690E1
1.48072000000000000E9	-1.94575668848342850E1
1.48082000000000020E9	-1.94397653816713080E1
1.48092000000000000E9	-1.94219492455101420E1
1.48102000000000000E9	-1.94041184543191520E1
1.48112000000000020E9	-1.93862729860109220E1
1.48122000000000000E9	-1.93684128185386300E1
1.48132000000000000E9	-1.93505379297587110E1
1.48142000000000000E9	-1.93326482975921410E1
1.48151999999999990E9	-1.93147438998035590E1
1.48161999999999990E9	-1.92968247142206590E1
1.48171999999999990E9	-1.92788907185844270E1
1.48182000000000010E9	-1.92609418906751850E1
1.48192000000000010E9	-1.92429782081973850E1
1.48201999999999990E9	-1.92249996488437100E1
1.48212000000000010E9	-1.92070061902324270E1
1.48222000000000010E9	-1.91889978100632840E1
1.48232000000000030E9	-1.91709744858339090E1
1.48242000000000010E9	-1.91529361952173140E1
1.48252000000000010E9	-1.91348829157207990E1
1.48262000000000000E9	-1.91168146248351010E1
1.48272000000000000E9	-1.90987313000738150E1
1.48282000000000000E9	-1.90806329189065170E1
1.48292000000000000E9	-1.90625194587614510E1
1.48302000000000000E9	-1.90443908970476760E1
1.48312000000000000E9	-1.90262472111148110E1
1.48322000000000000E9	-1.90080883783777500E1
1.48332000000000020E9	-1.89899143760984870E1
1.48342000000000020E9	-1.89717251815970610E1
1.48351999999999990E9	-1.89535207721632590E1
1.48362000000000020E9	-1.89353011250004010E1
1.48372000000000010E9	-1.89170662174047740E1
1.48382000000000010E9	-1.88988160264963120E1
1.48391999999999990E9	-1.88805505295134000E1
1.48401999999999990E9	-1.88622697035285340E1
1.48412000000000010E9	-1.88439735256891310E1
1.48422000000000010E9	-1.88256619730989480E1
1.48432000000000010E9	-1.88073350228163540E1
1.48442000000000010E9	-1.87889926518799880E1
1.48452000000000010E9	-1.87706348373177830E1
1.48462000000000010E9	-1.87522615560755360E1
1.48472000000000000E9	-1.87338727851951000E1
1.48482000000000030E9	-1.87154685015911100E1
1.48492000000000020E9	-1.86970486821729450E1
1.48502000000000000E9	-1.86786133038048030E1
1.48512000000000000E9	-1.86601623434288060E1
1.48522000000000000E9	-1.86416957778235790E1
1.48532000000000020E9	-1.86232135838833910E1
1.48542000000000000E9	-1.86047157383408070E1
1.48552000000000000E9	-1.85862022180451340E1
1.48562000000000020E9	-1.85676729996737260E1
1.48572000000000020E9	-1.85491280600528660E1
1.48582000000000010E9	-1.85305673758402500E1
1.48592000000000010E9	-1.85119909236855970E1
1.48602000000000010E9	-1.84933986803551600E1
1.48612000000000010E9	-1.84747906223915010E1
1.48622000000000010E9	-1.84561667265128060E1
1.48632000000000010E9	-1.84375269692782910E1
1.48642000000000010E9	-1.84188713272320510E1
1.48651999999999980E9	-1.84001997770678600E1
1.48662000000000010E9	-1.83815122951412180E1
1.48672000000000000E9	-1.83628088581631910E1
1.48682000000000030E9	-1.83440894424522720E1
1.48692000000000000E9	-1.83253540246781780E1
1.48702000000000000E9	-1.83066025811508370E1
1.48712000000000020E9	-1.82878350884251620E1
1.48722000000000020E9	-1.82690515228219570E1
1.48732000000000020E9	-1.82502518608498930E1
1.48742000000000020E9	-1.82314360788485750E1
1.48752000000000020E9	-1.82126041532294210E1
1.48762000000000020E9	-1.81937560602108590E1
1.48771999999999990E9	-1.81748917763143040E1
1.48782000000000010E9	-1.81560112777127580E1
1.48792000000000010E9	-1.81371145408172120E1
1.48801999999999990E9	-1.81182015418457780E1
1.48812000000000010E9	-1.80992722570840250E1
1.48822000000000010E9	-1.80803266627766980E1
1.48832000000000030E9	-1.80613647352148510E1
1.48842000000000010E9	-1.80423864505112160E1
1.48852000000000010E9	-1.80233917849835490E1
1.48862000000000030E9	-1.80043807147803170E1
1.48872000000000030E9	-1.79853532161148300E1
